50,290,290,290,290,290,290,290,290,15,290,290,290,290,290,290,290,290,290,14
32,307,307,307,307,307,307,307,307,32,307,307,307,307,307,307,307,307,307,32
32,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,16,290,290,290,290,297,290,290,290,290,290,291,-1,-1,-1,32
32,-1,-1,-1,32,314,314,314,314,314,314,314,314,314,314,315,-1,-1,-1,32
32,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,16,290,290,290,290,290,32
32,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,32,307,307,307,307,307,32
32,-1,-1,-1,292,-1,-1,-1,-1,-1,-1,-1,-1,292,-1,-1,-1,-1,-1,32
32,-1,-1,-1,309,-1,-1,-1,-1,-1,-1,-1,-1,309,-1,-1,-1,-1,-1,32
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
296,290,290,290,290,290,290,30,-1,-1,-1,-1,28,290,290,290,290,290,290,298
306,307,307,307,307,307,307,47,-1,-1,-1,-1,45,307,307,307,307,307,307,308
-1,-1,-1,-1,-1,-1,-1,47,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,289,291,-1,-1,289,291,-1,-1,-1,-1,-1,-1,-1
